ID,00:08:30:B7:05:62,00:08:30:D7:B8:10,00:08:30:D7:B8:12,00:08:30:E5:30:F4,00:08:30:E5:3E:04,00:08:30:E5:53:40,00:08:30:E5:53:41,00:08:30:E5:53:42,00:08:30:E5:53:43,00:08:30:E5:53:44,00:08:30:E5:7F:E1,00:08:30:E5:7F:E2,00:08:30:E5:7F:E3,00:08:30:E5:7F:E4,00:08:30:E5:9A:23,0C:4B:54:C4:06:9B,3E:2E:F9:D7:B0:9A,44:C3:46:19:93:51,48:7D:2E:20:78:99,5C:83:8F:8F:FD:F0,5C:83:8F:8F:FD:F1,5C:83:8F:8F:FD:F2,5C:83:8F:8F:FD:F4,68:BC:0C:07:24:D0,68:BC:0C:07:24:D1,68:BC:0C:07:24:D2,68:BC:0C:07:24:D3,68:BC:0C:07:24:D4,68:BC:0C:0A:C0:C1,68:BC:0C:0A:D4:E0,68:BC:0C:0A:D4:E1,68:BC:0C:0A:D4:E2,68:BC:0C:0A:D4:E3,68:BC:0C:0A:D4:E4,68:BC:0C:0A:DD:A0,68:BC:0C:0A:DD:A2,68:BC:0C:0A:DD:A3,68:BC:0C:0A:DD:A4,9C:D3:6D:A3:B4:32,DC:EE:06:91:61:D1,E0:B9:4D:36:55:53,EE:D0:9F:57:41:D1,00:08:30:E5:30:F1,00:08:30:E5:3E:00,00:08:30:E5:3E:02,00:08:30:E5:3E:03,00:08:30:E5:7F:E0,60:C5:A8:E1:3D:29,78:54:2E:F0:39:58,DC:FE:18:C6:C4:59,EC:26:CA:38:DB:DC,00:08:30:D7:AD:43,00:08:30:D7:B8:13,00:08:30:D7:B8:14,00:08:30:D7:C3:54,00:08:30:D7:E9:50,00:08:30:E5:30:F3,0C:4B:54:B5:ED:FA,68:BC:0C:07:03:90,68:BC:0C:07:03:91,68:BC:0C:07:03:93,68:BC:0C:07:03:94,00:08:30:D7:99:71,00:08:30:D7:99:72,00:08:30:D7:99:74,00:08:30:D7:B8:11,00:08:30:D7:DB:23,44:C3:46:19:93:89,5C:83:8F:8F:FD:F3,68:BC:0C:07:22:E0,68:BC:0C:07:22:E3,6C:B0:CE:42:51:7C,00:08:30:D7:99:70,00:08:30:D7:C3:50,A8:15:4D:3B:D9:8C,FA:34:41:E1:17:F7,00:08:30:D7:AD:42,00:08:30:D7:B8:42,00:08:30:D7:DB:20,14:75:90:4A:B6:8A,00:08:30:D7:E9:51,00:08:30:D7:E9:52,00:08:30:D7:62:F1,00:08:30:D7:99:73,00:08:30:D7:AD:44,00:08:30:D7:B8:40,00:08:30:E5:0B:A1,00:08:30:E5:3E:01,00:08:30:D7:65:10,00:08:30:D7:65:11,00:08:30:D7:65:12,00:08:30:D7:65:13,00:08:30:D7:AD:40,00:08:30:D7:AD:41,00:08:30:E5:0B:A2,00:08:30:E5:9A:24,00:08:30:B7:05:60,00:08:30:B7:05:64,00:08:30:D7:DB:21,00:08:30:D7:DB:22,00:08:30:D7:DB:24,00:08:30:E5:3D:D1,00:08:30:E5:3D:D4,00:08:30:B7:05:61,00:08:30:B7:05:63,00:08:30:E5:0B:A0,00:08:30:E5:0B:A3,68:BC:0C:0A:C0:C0,68:BC:0C:0A:C0:C2,00:08:30:D7:62:F0,00:08:30:D7:62:F3,00:08:30:D7:62:F4,00:08:30:D7:65:14,00:08:30:E5:0B:A4,68:BC:0C:0A:C0:C4,68:BC:0C:0A:E6:90,68:BC:0C:0A:E6:94,68:BC:0C:07:22:E1,68:BC:0C:0A:B0:73,68:BC:0C:0A:B0:74,68:BC:0C:0A:E6:93,00:08:30:D7:62:F2,00:08:30:D7:B8:43,00:08:30:D7:E9:53,00:08:30:E5:02:B1,00:08:30:E5:02:B3,68:BC:0C:07:22:E2,68:BC:0C:0A:E6:92,5C:83:8F:3C:6E:52,68:BC:0C:0A:B0:71,68:BC:0C:0A:E6:91,00:08:30:B7:00:A2,00:08:30:E5:02:B2,68:BC:0C:07:22:E4,00:08:30:B7:00:A4,00:08:30:D7:B8:41,00:08:30:D7:B8:44,00:08:30:E5:30:F0,5C:83:8F:3C:6E:53,5C:83:8F:3C:6E:54,00:08:30:D7:5F:B1,00:08:30:D7:E9:54,00:08:30:E5:3D:83,00:08:30:E5:3D:84,00:08:30:B7:00:A1,00:08:30:B7:00:A3,00:08:30:D7:C3:51,5C:83:8F:3C:6E:50,5C:83:8F:3C:6E:51,68:BC:0C:07:17:A4,E2:CC:F8:06:03:45,00:08:30:B7:00:A0,00:08:30:E5:3B:61,00:08:30:E5:4B:90,00:08:30:E5:4B:93,00:08:30:E5:4B:92,00:08:30:E5:4B:94,68:BC:0C:0A:C0:C3,00:08:30:D7:C3:53,00:08:30:D7:C3:52,68:BC:0C:07:17:A0,68:BC:0C:07:17:A1,68:BC:0C:07:32:30,34:23:87:9A:E9:D9,68:BC:0C:07:17:A3,68:BC:0C:07:32:34,68:BC:0C:0A:D7:00,68:BC:0C:0A:D7:03,68:BC:0C:0A:D7:02,C0:61:18:3F:80:20,FA:34:41:E1:1A:8B,00:08:30:E5:4B:91,68:BC:0C:0A:D7:01,6E:B0:CE:42:51:7D,00:08:30:D7:B0:B2,00:08:30:D7:BF:D0,00:08:30:E5:3B:60,00:08:30:E5:3B:64,68:BC:0C:07:32:32,00:08:30:E5:3B:62,00:08:30:E5:3B:63,68:BC:0C:0A:D7:04,9E:DA:3E:9D:BA:9D,38:22:D6:A7:DA:D0,00:08:30:D7:BF:D2,00:08:30:D7:BF:D3,00:08:30:D7:BF:D4,00:08:30:D7:B0:B0,00:08:30:D7:BF:D1,D6:25:8B:F1:68:E6,00:08:30:D7:A5:90,00:08:30:D7:A5:91,00:08:30:D7:B0:B3,46:03:2C:D4:E4:A0,00:08:30:D7:A5:93,00:08:30:E5:39:72,00:08:30:D7:A5:92,00:08:30:D7:B0:B4,68:BC:0C:0A:F0:E0,5C:83:8F:77:6E:71,00:08:30:D7:A5:94,00:08:30:D7:B0:B1,68:BC:0C:0A:F0:E1,68:BC:0C:0A:F0:E2,68:BC:0C:0A:F0:E3,68:BC:0C:0A:F0:E4,00:08:30:E5:30:F2,00:08:30:E5:39:73,4C:AC:0A:0C:2E:41,00:08:30:D7:92:20,00:08:30:D7:92:22,00:08:30:D7:92:23,00:08:30:D7:92:24,00:08:30:D7:AC:E0,00:08:30:D7:AC:E3,88:25:93:5F:A7:32,8E:99:4B:00:B6:C8,B8:08:D7:E0:C7:A2,0C:4B:54:B5:EF:B6,24:F2:7F:C3:60:41,24:F2:7F:C3:60:44,3C:CE:73:70:EF:80,3C:CE:73:70:EF:84,BC:46:99:62:C6:23,68:BC:0C:07:03:92,68:BC:0C:0A:DD:A1,00:08:30:E5:9A:21,32:F7:72:53:5E:9A,8A:78:73:C3:D8:4F,00:08:30:E5:3D:D2,AE:ED:5C:A8:F3:45,00:08:30:E5:3D:D0,00:08:30:E5:9A:22,00:08:30:E5:02:B4,00:08:30:E5:02:B0,68:BC:0C:0A:B0:70,68:BC:0C:0A:B0:72,68:BC:0C:07:17:A2,68:BC:0C:0A:AF:20,68:BC:0C:0A:AF:24,00:08:30:E5:39:71,00:08:30:E5:39:74,00:08:30:D7:92:21,4C:AC:0A:0C:2F:95,5E:AC:0A:0C:2F:95,6E:AC:0A:0C:2F:95,24:F2:7F:C3:60:43,24:F2:7F:C3:5F:41,24:F2:7F:C3:5F:44,F0:B4:29:25:C5:7D,00:08:30:E5:39:70,20:DC:E6:B4:2C:DA,68:BC:0C:0A:AF:21,68:BC:0C:0A:AF:23,20:6B:E7:C4:DF:79,68:BC:0C:0A:AF:22,30:FC:68:BB:6E:ED,F4:83:CD:55:10:93,00:08:30:D7:AC:E4,00:0C:43:E1:76:28,00:23:89:D0:CB:40,68:BC:0C:07:09:E1,B4:0F:3B:C5:F3:31,00:08:30:D7:AC:E1,00:08:30:E5:2D:83,F0:B4:29:F1:98:2E,68:BC:0C:07:09:E0,68:BC:0C:07:09:E2,68:BC:0C:07:09:E3,68:BC:0C:07:09:E4,C4:CA:D9:6D:CC:F0,C4:CA:D9:6D:CC:F1,F2:B4:29:F0:98:2E,F8:D0:27:F3:EE:30,30:B4:9E:71:A6:1B,B8:62:1F:53:72:0D,00:08:30:E4:D2:F2,00:08:30:E4:D2:F4,00:08:30:E5:5D:C1,00:08:30:E5:5D:C4,8E:99:4B:00:B5:DC,00:08:30:E4:D2:F0,00:08:30:E4:D2:F3,30:FC:68:90:C5:D8,00:08:30:A7:85:90,00:08:30:A7:85:91,00:08:30:A7:85:93,00:08:30:E5:5D:C3,00:23:89:C4:EE:D0,00:26:99:74:5D:94,14:CC:20:53:97:DC,BC:46:99:34:A6:DA,BA:C1:11:7E:F7:21,20:6B:E7:4B:01:89,00:34:CB:54:CD:00,00:34:CB:68:D7:5F,38:22:D6:55:54:20,F4:83:CD:89:5E:4E,30:FC:68:8D:40:B6,00:08:30:E5:5D:C2,00:08:30:E4:D2:F1,00:08:30:E5:5D:C0,C4:04:15:88:5A:97
1,-71,-69,-69.25,-71,-72,-65.25,-66.5,-64,-65,-65.5,-71.75,-69.35,-69.6,-69,-76,-76.85,-72,-75.75,-78.6875,-70,-70,-71,-70.7778,-65.25,-63.0556,-66.05,-66,-64.6875,-70,-65.1111,-64.95,-66.2,-66,-65.4444,-72,-71,-72,-71,-75.4,-75.4,-76.15,-68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,-69,-66.35,0,-67,-66.95,-67.4444,0,-70.3333,-69.6667,-69.7778,0,0,-69.75,-74.1,0,-69.8889,-71.25,-71.2222,0,-63.95,-66,-63.65,-64.9444,-64.45,0,0,0,0,0,0,0,0,-76,0,-76.5,-71.5,-77,-69.45,-72,-69.1,-71,-71,-69.4375,-79,-72.75,-78.85,-78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-68,-68,0,0,-66,-65.8,-65.25,-66.25,-65.1,-65.5,-67.35,-66.35,-66.65,0,0,-73,-73.35,0,-70.95,0,0,-71.1429,-63.05,-64.9,-64.1,-64.7,-63.25,0,-65.9,-65.7,-65.5,-64.75,-65,0,0,0,0,-77,-72.05,-77.6667,-68.7,-72,-70,0,-71,-66.2,0,-75.75,0,0,-76,-69,-69,-76,-71,-73.3333,-88.5,-71,-70,-71,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,-67.9375,0,-69,-60.6,-61,-60.25,-61.6,-61.1,-65,-65.2,-65,-65.2,0,0,-75,0,0,0,-76,0,0,-65.95,-65,-68.45,-65.9,-64.75,0,0,-67.6,0,0,-65,0,0,0,0,-70.5,-73.65,0,-68.75,0,0,0,0,-65,-83.65,-73.65,-78,-76.5,0,-68.0556,-69,0,0,0,-88.5,-70.125,0,0,-70.05,-76.15,-72,-72.9,-71,-71,-78.5,-71,-75.1111,-72.5556,-78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,-62.2,-64.15,-63.05,-62.85,-59,-65.125,-64.4,-65.3,-65.45,0,0,-76.75,-74.3,0,-70.1667,0,-71,0,-66.45,-68.15,-67.1111,-66.3333,-67.75,0,0,-69.9,-69.125,-69.1,0,0,0,0,0,-71.6111,-70.25,0,-65.6,0,0,0,0,-64.8,-76.2,-76.3,-79.5,0,0,-67.8333,0,0,0,0,-78,0,0,0,0,0,-72,0,0,0,0,0,0,-71,0,-72,-76.5,-88.5,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-67.1,-66,0,-72,-61.8,-61.75,-62.05,-61.5,-62.05,-65.8,-65.55,-65.9,-65.5,0,0,-75.5,0,0,-70.5,-72,0,0,-67.55,-67.95,-67.6,-66.4,-67.3,0,0,0,-70.1,0,-66,0,0,0,0,-73.9,-72,0,-63.95,0,0,0,0,-66.25,-72.3,-71.45,-78.95,0,0,-67.5,-66,0,0,0,-78.4,0,0,0,0,-72,-70.375,-71.75,-67,0,0,-71,0,0,0,-72,0,-78.5,0,-76.5,-76.5,-72,-88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-66.5,-65.9,0,0,-63.9,-66.05,-65.3,-65.55,-66.8,-67.05,-66,-66,-66,0,0,-76,-75.25,0,-71,0,-70.3889,-70.1111,-64.6,-66.1,-63.8,-66.2,-65.05,0,0,0,0,0,0,0,0,0,0,-74,-71,0,-60.95,0,0,0,0,-66.05,-73.9,-73.7,0,0,0,0,-66,0,-66,0,0,0,0,0,0,0,0,0,-66,0,0,-69.75,0,0,0,0,0,0,0,0,0,0,0,-69,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,-69,0,0,-64.1,-64,-64.15,-64,-64,-66,-66,-67.15,-66,0,0,-70.9,-71.4,0,-69.5556,-71.9,-69.25,0,-69.05,-69.45,-69,-68.6,-69,0,-71,-72,0,-76,0,0,0,0,0,-73.75,-69.25,0,-58.35,0,0,0,0,-66.95,-73.3,-72,-78.5,0,0,0,-69.3,0,-72,0,0,0,0,0,0,-68.25,-67.65,-66.8,0,0,-76.5556,0,0,0,0,-69.15,0,0,-77,0,0,0,0,0,0,-76,-68.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-66,-69,0,0,-63.9,-63.5,-64.25,-63.4,-63,-66,-66,-67,-66.35,0,0,-60,0,0,-70.95,-71.5,-70.4,-70,-68.2,-68.3,-66.25,-68.15,-67.05,0,0,0,0,0,0,0,0,0,0,-72.05,-64.4,0,-58.05,0,0,0,0,-66,-72.8,-72,0,0,0,-69,-69,0,0,0,0,0,0,0,0,0,-65.3,-69,-69,0,-77,0,0,0,0,-68.75,0,0,-77,0,0,0,0,0,0,0,0,-75.3333,-76.5,-76,-76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-67.1,-67.7,0,-76,-59.65,-59.65,-58.95,-59.45,-59.25,-65.45,-65,-64.55,-65.7,0,0,-75,-78.35,0,-67.75,-68.75,-66.75,-67.85,-68.25,-68.4,-67.95,-70.2222,-68.95,0,0,0,0,0,0,0,0,0,0,-74.4,-70.65,0,-64.35,0,-76.5,-76.8,0,-65.95,-72.6,-73,0,0,-71.55,-65.8889,-68.25,0,0,0,0,0,0,0,0,-66.7,-67.95,0,-67.55,0,-78.5,-65.3333,0,0,0,-68.75,0,0,0,-71.8,0,0,0,0,0,0,-67.8,-72,0,0,-76,-73.3889,-70.4,-72,-72,-74.75,-71,-76,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
